;expert;test;alternative;alcohol;chlorides;citric.acid;density;fixed.acidity;free.sulfur.dioxide;pH;residual.sugar;sulphates;total.sulfur.dioxide;volatile.acidity;choice
33;1;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;0
34;1;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
35;1;9;3;9.5;0.113;0.52;0.9969;8.7;12;3.25;1.6;0.58;37;0.29;0
36;1;9;4;9.2;0.103;0.25;0.9957;5.2;13;3.38;1.8;0.55;50;0.32;1
37;1;10;1;9.7;0.085;0.14;0.9968;6.9;21;3.43;2.4;0.63;40;0.4;1
38;1;10;2;9;0.086;0.08;0.9974;7.4;6;3.38;4.4;0.5;29;0.59;0
39;1;10;3;9.4;0.084;0.11;0.9968;8.5;9;3.17;2.3;0.53;67;0.49;0
40;1;10;4;9.2;0.097;0.08;0.9959;6.7;15;3.28;1.8;0.54;65;0.58;0
41;1;11;1;9.3;0.088;0.3;0.9976;8.8;17;3.26;2.8;0.51;46;0.61;0
42;1;11;2;9.8;0.092;0.04;0.997;7.8;15;3.26;2.3;0.65;54;0.76;0
43;1;11;3;9.7;0.082;0.31;0.9982;7.6;23;3.52;2.3;0.65;71;0.39;0
44;1;11;4;9.3;0.368;0.28;0.9968;8.1;16;3.11;1.7;1.28;56;0.56;1
45;1;12;1;9.5;0.05;0.02;0.9962;6.8;5;3.48;1.8;0.52;11;0.67;1
46;1;12;2;9.4;0.077;0.48;0.9968;8.9;29;3.39;1.8;0.53;60;0.22;0
47;1;12;3;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
48;1;12;4;10.1;0.089;0.07;0.9958;6.7;17;3.35;2.4;0.54;82;0.675;0
49;2;1;1;9.3;0.08;0.16;0.9955;6.3;11;3.34;1.4;0.56;23;0.39;1
50;2;1;2;10.8;0.086;0.14;0.9975;7.8;3;3.42;2.4;0.6;15;0.6;0
51;2;1;3;9.8;0.082;0;0.9964;7.8;8;3.38;2;0.59;16;0.645;0
52;2;1;4;9.8;0.172;0.09;0.994;5.7;7;3.5;1.5;0.48;19;1.13;0
53;2;2;1;10.5;0.092;0.56;0.9969;8.5;35;3.3;1.8;0.75;103;0.28;1
54;2;2;2;9.7;0.066;0.28;0.9968;8.1;13;3.23;2.1;0.73;30;0.38;0
55;2;2;3;10;0.065;0;0.9946;7.3;15;3.39;1.2;0.47;21;0.65;0
56;2;2;4;9.8;0.083;0.12;0.9966;8.3;15;3.17;2.3;0.66;113;0.655;0
57;2;3;1;9.4;0.069;0.06;0.9964;7.9;15;3.3;1.6;0.46;59;0.6;0
58;2;3;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
59;2;3;3;9.4;0.073;0.12;0.9993;6.9;40;3.45;10.7;0.52;83;0.605;0
60;2;3;4;9.1;0.114;0.29;0.9974;7.8;9;3.26;1.6;1.56;29;0.61;1
61;2;4;1;10.5;0.332;0.2;0.9968;7.5;8;3.21;2.6;0.9;14;0.49;0
62;2;4;2;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;1
63;2;4;3;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;0
64;2;4;4;9.5;0.073;0.02;0.9968;7.8;9;3.36;2;0.57;18;0.58;0
65;2;5;1;9.8;0.075;0.56;0.998;11.2;17;3.16;1.9;0.58;60;0.28;0
66;2;5;2;9.2;0.341;0.51;0.9969;7.9;17;3.04;1.8;1.08;56;0.32;0
67;2;5;3;9.8;0.098;0;0.9968;7.8;25;3.2;2.6;0.68;67;0.88;0
68;2;5;4;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;1
69;2;6;1;9.9;0.089;0;0.9943;5.6;16;3.58;1.6;0.52;59;0.615;0
70;2;6;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
71;2;6;3;10.3;0.069;0.22;0.9968;8.1;9;3.3;2.2;1.2;23;0.66;0
72;2;6;4;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
73;2;7;1;10.6;0.105;0;0.9966;6.9;22;3.46;2.5;0.57;37;0.685;1
74;2;7;2;9.4;0.075;0;0.9978;7.4;13;3.51;1.8;0.56;40;0.66;0
75;2;7;3;9.2;0.176;0.18;0.9986;8.9;52;3.16;3.8;0.88;145;0.62;0
76;2;7;4;9.2;0.114;0.43;0.997;7.7;22;3.25;2.2;0.73;114;0.935;0
77;2;8;1;13.1;0.054;0.15;0.9934;4.6;8;3.9;2.1;0.56;65;0.52;1
78;2;8;2;9.4;0.08;0;0.9972;7.1;14;3.47;1.9;0.55;35;0.71;0
79;2;8;3;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
80;2;8;4;9.2;0.17;0.19;0.9986;8.9;51;3.17;3.9;0.93;148;0.62;0
81;2;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;0
82;2;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
83;2;9;3;9.5;0.113;0.52;0.9969;8.7;12;3.25;1.6;0.58;37;0.29;1
84;2;9;4;9.2;0.103;0.25;0.9957;5.2;13;3.38;1.8;0.55;50;0.32;0
85;2;10;1;9.7;0.085;0.14;0.9968;6.9;21;3.43;2.4;0.63;40;0.4;1
86;2;10;2;9;0.086;0.08;0.9974;7.4;6;3.38;4.4;0.5;29;0.59;0
87;2;10;3;9.4;0.084;0.11;0.9968;8.5;9;3.17;2.3;0.53;67;0.49;0
88;2;10;4;9.2;0.097;0.08;0.9959;6.7;15;3.28;1.8;0.54;65;0.58;0
89;2;11;1;9.3;0.088;0.3;0.9976;8.8;17;3.26;2.8;0.51;46;0.61;1
90;2;11;2;9.8;0.092;0.04;0.997;7.8;15;3.26;2.3;0.65;54;0.76;0
91;2;11;3;9.7;0.082;0.31;0.9982;7.6;23;3.52;2.3;0.65;71;0.39;0
92;2;11;4;9.3;0.368;0.28;0.9968;8.1;16;3.11;1.7;1.28;56;0.56;0
93;2;12;1;9.5;0.05;0.02;0.9962;6.8;5;3.48;1.8;0.52;11;0.67;0
94;2;12;2;9.4;0.077;0.48;0.9968;8.9;29;3.39;1.8;0.53;60;0.22;1
95;2;12;3;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
96;2;12;4;10.1;0.089;0.07;0.9958;6.7;17;3.35;2.4;0.54;82;0.675;0
97;3;1;1;9.3;0.08;0.16;0.9955;6.3;11;3.34;1.4;0.56;23;0.39;0
98;3;1;2;10.8;0.086;0.14;0.9975;7.8;3;3.42;2.4;0.6;15;0.6;0
99;3;1;3;9.8;0.082;0;0.9964;7.8;8;3.38;2;0.59;16;0.645;0
100;3;1;4;9.8;0.172;0.09;0.994;5.7;7;3.5;1.5;0.48;19;1.13;1
101;3;2;1;10.5;0.092;0.56;0.9969;8.5;35;3.3;1.8;0.75;103;0.28;0
102;3;2;2;9.7;0.066;0.28;0.9968;8.1;13;3.23;2.1;0.73;30;0.38;1
103;3;2;3;10;0.065;0;0.9946;7.3;15;3.39;1.2;0.47;21;0.65;0
104;3;2;4;9.8;0.083;0.12;0.9966;8.3;15;3.17;2.3;0.66;113;0.655;0
105;3;3;1;9.4;0.069;0.06;0.9964;7.9;15;3.3;1.6;0.46;59;0.6;0
106;3;3;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
107;3;3;3;9.4;0.073;0.12;0.9993;6.9;40;3.45;10.7;0.52;83;0.605;0
108;3;3;4;9.1;0.114;0.29;0.9974;7.8;9;3.26;1.6;1.56;29;0.61;1
109;3;4;1;10.5;0.332;0.2;0.9968;7.5;8;3.21;2.6;0.9;14;0.49;0
110;3;4;2;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
111;3;4;3;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
112;3;4;4;9.5;0.073;0.02;0.9968;7.8;9;3.36;2;0.57;18;0.58;0
113;3;5;1;9.8;0.075;0.56;0.998;11.2;17;3.16;1.9;0.58;60;0.28;0
114;3;5;2;9.2;0.341;0.51;0.9969;7.9;17;3.04;1.8;1.08;56;0.32;1
115;3;5;3;9.8;0.098;0;0.9968;7.8;25;3.2;2.6;0.68;67;0.88;0
116;3;5;4;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
117;3;6;1;9.9;0.089;0;0.9943;5.6;16;3.58;1.6;0.52;59;0.615;0
118;3;6;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
119;3;6;3;10.3;0.069;0.22;0.9968;8.1;9;3.3;2.2;1.2;23;0.66;0
120;3;6;4;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
121;3;7;1;10.6;0.105;0;0.9966;6.9;22;3.46;2.5;0.57;37;0.685;1
122;3;7;2;9.4;0.075;0;0.9978;7.4;13;3.51;1.8;0.56;40;0.66;0
123;3;7;3;9.2;0.176;0.18;0.9986;8.9;52;3.16;3.8;0.88;145;0.62;0
124;3;7;4;9.2;0.114;0.43;0.997;7.7;22;3.25;2.2;0.73;114;0.935;0
125;3;8;1;13.1;0.054;0.15;0.9934;4.6;8;3.9;2.1;0.56;65;0.52;0
126;3;8;2;9.4;0.08;0;0.9972;7.1;14;3.47;1.9;0.55;35;0.71;0
127;3;8;3;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
128;3;8;4;9.2;0.17;0.19;0.9986;8.9;51;3.17;3.9;0.93;148;0.62;1
129;3;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;1
130;3;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
131;3;9;3;9.5;0.113;0.52;0.9969;8.7;12;3.25;1.6;0.58;37;0.29;0
132;3;9;4;9.2;0.103;0.25;0.9957;5.2;13;3.38;1.8;0.55;50;0.32;0
133;3;10;1;9.7;0.085;0.14;0.9968;6.9;21;3.43;2.4;0.63;40;0.4;0
134;3;10;2;9;0.086;0.08;0.9974;7.4;6;3.38;4.4;0.5;29;0.59;1
135;3;10;3;9.4;0.084;0.11;0.9968;8.5;9;3.17;2.3;0.53;67;0.49;0
136;3;10;4;9.2;0.097;0.08;0.9959;6.7;15;3.28;1.8;0.54;65;0.58;0
137;3;11;1;9.3;0.088;0.3;0.9976;8.8;17;3.26;2.8;0.51;46;0.61;1
138;3;11;2;9.8;0.092;0.04;0.997;7.8;15;3.26;2.3;0.65;54;0.76;0
139;3;11;3;9.7;0.082;0.31;0.9982;7.6;23;3.52;2.3;0.65;71;0.39;0
140;3;11;4;9.3;0.368;0.28;0.9968;8.1;16;3.11;1.7;1.28;56;0.56;0
141;3;12;1;9.5;0.05;0.02;0.9962;6.8;5;3.48;1.8;0.52;11;0.67;0
142;3;12;2;9.4;0.077;0.48;0.9968;8.9;29;3.39;1.8;0.53;60;0.22;0
143;3;12;3;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;1
144;3;12;4;10.1;0.089;0.07;0.9958;6.7;17;3.35;2.4;0.54;82;0.675;0
145;4;1;1;9.3;0.08;0.16;0.9955;6.3;11;3.34;1.4;0.56;23;0.39;0
146;4;1;2;10.8;0.086;0.14;0.9975;7.8;3;3.42;2.4;0.6;15;0.6;0
147;4;1;3;9.8;0.082;0;0.9964;7.8;8;3.38;2;0.59;16;0.645;0
148;4;1;4;9.8;0.172;0.09;0.994;5.7;7;3.5;1.5;0.48;19;1.13;1
149;4;2;1;10.5;0.092;0.56;0.9969;8.5;35;3.3;1.8;0.75;103;0.28;0
150;4;2;2;9.7;0.066;0.28;0.9968;8.1;13;3.23;2.1;0.73;30;0.38;1
151;4;2;3;10;0.065;0;0.9946;7.3;15;3.39;1.2;0.47;21;0.65;0
152;4;2;4;9.8;0.083;0.12;0.9966;8.3;15;3.17;2.3;0.66;113;0.655;0
153;4;3;1;9.4;0.069;0.06;0.9964;7.9;15;3.3;1.6;0.46;59;0.6;1
154;4;3;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
155;4;3;3;9.4;0.073;0.12;0.9993;6.9;40;3.45;10.7;0.52;83;0.605;0
156;4;3;4;9.1;0.114;0.29;0.9974;7.8;9;3.26;1.6;1.56;29;0.61;0
157;4;4;1;10.5;0.332;0.2;0.9968;7.5;8;3.21;2.6;0.9;14;0.49;0
158;4;4;2;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
159;4;4;3;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
160;4;4;4;9.5;0.073;0.02;0.9968;7.8;9;3.36;2;0.57;18;0.58;0
161;4;5;1;9.8;0.075;0.56;0.998;11.2;17;3.16;1.9;0.58;60;0.28;0
162;4;5;2;9.2;0.341;0.51;0.9969;7.9;17;3.04;1.8;1.08;56;0.32;1
163;4;5;3;9.8;0.098;0;0.9968;7.8;25;3.2;2.6;0.68;67;0.88;0
164;4;5;4;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
165;4;6;1;9.9;0.089;0;0.9943;5.6;16;3.58;1.6;0.52;59;0.615;0
166;4;6;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
167;4;6;3;10.3;0.069;0.22;0.9968;8.1;9;3.3;2.2;1.2;23;0.66;1
168;4;6;4;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;0
169;4;7;1;10.6;0.105;0;0.9966;6.9;22;3.46;2.5;0.57;37;0.685;1
170;4;7;2;9.4;0.075;0;0.9978;7.4;13;3.51;1.8;0.56;40;0.66;0
171;4;7;3;9.2;0.176;0.18;0.9986;8.9;52;3.16;3.8;0.88;145;0.62;0
172;4;7;4;9.2;0.114;0.43;0.997;7.7;22;3.25;2.2;0.73;114;0.935;0
173;4;8;1;13.1;0.054;0.15;0.9934;4.6;8;3.9;2.1;0.56;65;0.52;1
174;4;8;2;9.4;0.08;0;0.9972;7.1;14;3.47;1.9;0.55;35;0.71;0
175;4;8;3;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
176;4;8;4;9.2;0.17;0.19;0.9986;8.9;51;3.17;3.9;0.93;148;0.62;0
177;4;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;1
178;4;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
179;4;9;3;9.5;0.113;0.52;0.9969;8.7;12;3.25;1.6;0.58;37;0.29;0
180;4;9;4;9.2;0.103;0.25;0.9957;5.2;13;3.38;1.8;0.55;50;0.32;0
181;4;10;1;9.7;0.085;0.14;0.9968;6.9;21;3.43;2.4;0.63;40;0.4;0
182;4;10;2;9;0.086;0.08;0.9974;7.4;6;3.38;4.4;0.5;29;0.59;0
183;4;10;3;9.4;0.084;0.11;0.9968;8.5;9;3.17;2.3;0.53;67;0.49;1
184;4;10;4;9.2;0.097;0.08;0.9959;6.7;15;3.28;1.8;0.54;65;0.58;0
185;4;11;1;9.3;0.088;0.3;0.9976;8.8;17;3.26;2.8;0.51;46;0.61;0
186;4;11;2;9.8;0.092;0.04;0.997;7.8;15;3.26;2.3;0.65;54;0.76;0
187;4;11;3;9.7;0.082;0.31;0.9982;7.6;23;3.52;2.3;0.65;71;0.39;1
188;4;11;4;9.3;0.368;0.28;0.9968;8.1;16;3.11;1.7;1.28;56;0.56;0
189;4;12;1;9.5;0.05;0.02;0.9962;6.8;5;3.48;1.8;0.52;11;0.67;0
190;4;12;2;9.4;0.077;0.48;0.9968;8.9;29;3.39;1.8;0.53;60;0.22;0
191;4;12;3;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
192;4;12;4;10.1;0.089;0.07;0.9958;6.7;17;3.35;2.4;0.54;82;0.675;1
193;5;1;1;9.3;0.08;0.16;0.9955;6.3;11;3.34;1.4;0.56;23;0.39;0
194;5;1;2;10.8;0.086;0.14;0.9975;7.8;3;3.42;2.4;0.6;15;0.6;0
195;5;1;3;9.8;0.082;0;0.9964;7.8;8;3.38;2;0.59;16;0.645;0
196;5;1;4;9.8;0.172;0.09;0.994;5.7;7;3.5;1.5;0.48;19;1.13;1
197;5;2;1;10.5;0.092;0.56;0.9969;8.5;35;3.3;1.8;0.75;103;0.28;0
198;5;2;2;9.7;0.066;0.28;0.9968;8.1;13;3.23;2.1;0.73;30;0.38;1
199;5;2;3;10;0.065;0;0.9946;7.3;15;3.39;1.2;0.47;21;0.65;0
200;5;2;4;9.8;0.083;0.12;0.9966;8.3;15;3.17;2.3;0.66;113;0.655;0
201;5;3;1;9.4;0.069;0.06;0.9964;7.9;15;3.3;1.6;0.46;59;0.6;0
202;5;3;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;1
203;5;3;3;9.4;0.073;0.12;0.9993;6.9;40;3.45;10.7;0.52;83;0.605;0
204;5;3;4;9.1;0.114;0.29;0.9974;7.8;9;3.26;1.6;1.56;29;0.61;0
205;5;4;1;10.5;0.332;0.2;0.9968;7.5;8;3.21;2.6;0.9;14;0.49;0
206;5;4;2;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
207;5;4;3;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
208;5;4;4;9.5;0.073;0.02;0.9968;7.8;9;3.36;2;0.57;18;0.58;0
209;5;5;1;9.8;0.075;0.56;0.998;11.2;17;3.16;1.9;0.58;60;0.28;0
210;5;5;2;9.2;0.341;0.51;0.9969;7.9;17;3.04;1.8;1.08;56;0.32;0
211;5;5;3;9.8;0.098;0;0.9968;7.8;25;3.2;2.6;0.68;67;0.88;0
212;5;5;4;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;1
213;5;6;1;9.9;0.089;0;0.9943;5.6;16;3.58;1.6;0.52;59;0.615;0
214;5;6;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
215;5;6;3;10.3;0.069;0.22;0.9968;8.1;9;3.3;2.2;1.2;23;0.66;0
216;5;6;4;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
217;5;7;1;10.6;0.105;0;0.9966;6.9;22;3.46;2.5;0.57;37;0.685;1
218;5;7;2;9.4;0.075;0;0.9978;7.4;13;3.51;1.8;0.56;40;0.66;0
219;5;7;3;9.2;0.176;0.18;0.9986;8.9;52;3.16;3.8;0.88;145;0.62;0
220;5;7;4;9.2;0.114;0.43;0.997;7.7;22;3.25;2.2;0.73;114;0.935;0
221;5;8;1;13.1;0.054;0.15;0.9934;4.6;8;3.9;2.1;0.56;65;0.52;1
222;5;8;2;9.4;0.08;0;0.9972;7.1;14;3.47;1.9;0.55;35;0.71;0
223;5;8;3;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
224;5;8;4;9.2;0.17;0.19;0.9986;8.9;51;3.17;3.9;0.93;148;0.62;0
225;5;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;0
226;5;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
227;5;9;3;9.5;0.113;0.52;0.9969;8.7;12;3.25;1.6;0.58;37;0.29;0
228;5;9;4;9.2;0.103;0.25;0.9957;5.2;13;3.38;1.8;0.55;50;0.32;1
229;5;10;1;9.7;0.085;0.14;0.9968;6.9;21;3.43;2.4;0.63;40;0.4;0
230;5;10;2;9;0.086;0.08;0.9974;7.4;6;3.38;4.4;0.5;29;0.59;0
231;5;10;3;9.4;0.084;0.11;0.9968;8.5;9;3.17;2.3;0.53;67;0.49;0
232;5;10;4;9.2;0.097;0.08;0.9959;6.7;15;3.28;1.8;0.54;65;0.58;1
233;5;11;1;9.3;0.088;0.3;0.9976;8.8;17;3.26;2.8;0.51;46;0.61;0
234;5;11;2;9.8;0.092;0.04;0.997;7.8;15;3.26;2.3;0.65;54;0.76;1
235;5;11;3;9.7;0.082;0.31;0.9982;7.6;23;3.52;2.3;0.65;71;0.39;0
236;5;11;4;9.3;0.368;0.28;0.9968;8.1;16;3.11;1.7;1.28;56;0.56;0
237;5;12;1;9.5;0.05;0.02;0.9962;6.8;5;3.48;1.8;0.52;11;0.67;0
238;5;12;2;9.4;0.077;0.48;0.9968;8.9;29;3.39;1.8;0.53;60;0.22;0
239;5;12;3;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
240;5;12;4;10.1;0.089;0.07;0.9958;6.7;17;3.35;2.4;0.54;82;0.675;1
241;6;1;1;9.3;0.08;0.16;0.9955;6.3;11;3.34;1.4;0.56;23;0.39;0
242;6;1;2;10.8;0.086;0.14;0.9975;7.8;3;3.42;2.4;0.6;15;0.6;1
243;6;1;3;9.8;0.082;0;0.9964;7.8;8;3.38;2;0.59;16;0.645;0
244;6;1;4;9.8;0.172;0.09;0.994;5.7;7;3.5;1.5;0.48;19;1.13;0
245;6;2;1;10.5;0.092;0.56;0.9969;8.5;35;3.3;1.8;0.75;103;0.28;0
246;6;2;2;9.7;0.066;0.28;0.9968;8.1;13;3.23;2.1;0.73;30;0.38;0
247;6;2;3;10;0.065;0;0.9946;7.3;15;3.39;1.2;0.47;21;0.65;1
248;6;2;4;9.8;0.083;0.12;0.9966;8.3;15;3.17;2.3;0.66;113;0.655;0
249;6;3;1;9.4;0.069;0.06;0.9964;7.9;15;3.3;1.6;0.46;59;0.6;0
250;6;3;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
251;6;3;3;9.4;0.073;0.12;0.9993;6.9;40;3.45;10.7;0.52;83;0.605;1
252;6;3;4;9.1;0.114;0.29;0.9974;7.8;9;3.26;1.6;1.56;29;0.61;0
253;6;4;1;10.5;0.332;0.2;0.9968;7.5;8;3.21;2.6;0.9;14;0.49;0
254;6;4;2;10.5;0.071;0.36;0.9978;7.5;17;3.35;6.1;0.8;102;0.5;0
255;6;4;3;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;1
256;6;4;4;9.5;0.073;0.02;0.9968;7.8;9;3.36;2;0.57;18;0.58;0
257;6;5;1;9.8;0.075;0.56;0.998;11.2;17;3.16;1.9;0.58;60;0.28;1
258;6;5;2;9.2;0.341;0.51;0.9969;7.9;17;3.04;1.8;1.08;56;0.32;0
259;6;5;3;9.8;0.098;0;0.9968;7.8;25;3.2;2.6;0.68;67;0.88;0
260;6;5;4;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
261;6;6;1;9.9;0.089;0;0.9943;5.6;16;3.58;1.6;0.52;59;0.615;1
262;6;6;2;9.4;0.076;0;0.9978;7.4;11;3.51;1.9;0.56;34;0.7;0
263;6;6;3;10.3;0.069;0.22;0.9968;8.1;9;3.3;2.2;1.2;23;0.66;0
264;6;6;4;10.5;0.074;0.36;0.9978;7.3;12;3.33;5.9;0.83;87;0.45;0
265;6;7;1;10.6;0.105;0;0.9966;6.9;22;3.46;2.5;0.57;37;0.685;0
266;6;7;2;9.4;0.075;0;0.9978;7.4;13;3.51;1.8;0.56;40;0.66;0
267;6;7;3;9.2;0.176;0.18;0.9986;8.9;52;3.16;3.8;0.88;145;0.62;1
268;6;7;4;9.2;0.114;0.43;0.997;7.7;22;3.25;2.2;0.73;114;0.935;0
269;6;8;1;13.1;0.054;0.15;0.9934;4.6;8;3.9;2.1;0.56;65;0.52;1
270;6;8;2;9.4;0.08;0;0.9972;7.1;14;3.47;1.9;0.55;35;0.71;0
271;6;8;3;9.5;0.106;0.21;0.9966;7.9;10;3.17;1.6;0.91;37;0.43;0
272;6;8;4;9.2;0.17;0.19;0.9986;8.9;51;3.17;3.9;0.93;148;0.62;0
273;6;9;1;9.5;0.08;0.24;0.9962;7.6;4;3.28;1.8;0.59;11;0.41;1
274;6;9;2;9.6;0.086;0;0.9986;7.8;5;3.4;5.5;0.55;18;0.645;0
